code,name,gradeLevel,cadre,department
CENS_O_16,DEPUTY DIRECTOR CENSUS,16,O,CENS
CENS_O_17,DIRECTOR CENSUS,17,O,CENS
CENS_O_8,STATISTICIAN II ,8,O,CENS
CENS_O_9,STATISTICIAN I,9,O,CENS
COMM_O_10,SENIOR ADMIN OFFICER ,10,O,COMM
COMM_O_12,PRINCIPAL ADMIN OFFICER,12,O,COMM
COMM_O_13,ASST CHIEF ADMIN OFFICER ,13,O,COMM
COMM_O_14,CHIEF ADMIN OFFICER,14,O,COMM
COMM_O_15,ASSISTANT DIRECTOR ,15,O,COMM
COMM_O_16,DEPUTY DIRECTOR ,16,O,COMM
COMM_O_17,DIRECTOR COMMISSION SECRETARIAT,17,O,COMM
COMM_O_8,ADMIN OFFICER II ,8,O,COMM
COMM_O_9,ADMIN OFFICER I ,9,O,COMM
F&A_E_10,PRINCIPAL EXECUTIVE OFFICER ACCOUNTS II,10,E,FA
F&A_E_12,PRINCIPAL EXECUTIVE OFFICER ACCOUNTS I,12,E,FA
F&A_E_13,ASST CHIEF EXECUTIVE OFFICER ACCOUNT,13,E,FA
F&A_E_14,CHIEF EXECUTIVE OFFICER ACCOUNTS,14,E,FA
F&A_E_6,ASST EXECUTIVE OFFICER ACCOUNT,6,E,FA
F&A_E_7,EXECUTIVE OFFICER ACCOUNT,7,E,FA
F&A_E_8,HIGHER EXECUTIVE OFFICER ACCOUNTS,8,E,FA
F&A_E_9,SENIOR EXECUTIVE OFFICER ACCOUNTS,9,E,FA
F&A_O_10,PRINCIPAL ACCOUNTANT,10,O,FA
F&A_O_12,ASST CHIEF ACCOUNTANT,12,O,FA
F&A_O_13,CHIEF ACCOUNTANT,13,O,FA
F&A_O_14,ASST DIRECTOR FINANCE & ACCOUNT,14,O,FA
F&A_O_15,DEPUTY DIRECTOR FINANCE & ACCOUNT,15,O,FA
F&A_O_17_1,DIRECTOR ACCOUNTANTS,17,O,FA
F&A_O_17_2,DIRECTOR FUNDS,17,O,FA
F&A_O_17_3,DIRECTOR FINANCE & ACCOUNTS,17,O,FA
F&A_O_8,ACCOUNTANT II,8,O,FA
F&A_O_9,ACCOUNTANT II,9,O,FA
GS_C_3_1,CLERICAL OFFICER III,3,C,GS
GS_C_3_2,STORE ASST III,3,C,GS
GS_C_3_3,SECURITY GUARD II,3,C,GS
GS_C_4_1,CLERICAL OFFICER II,4,C,GS
GS_C_4_2,STORE ASST II,4,C,GS
GS_C_4_3,SECURITY GUARD I,4,C,GS
GS_C_5_1,CLERICAL OFFICER I,5,C,GS
GS_C_5_2,STORE ASST I,5,C,GS
GS_C_5_3,SENIOR SECURITY GUARD,5,C,GS
GS_C_6_1,ASST CLERICAL OFFICER,6,C,GS
GS_C_6_2,SENIOR STORE ASST,6,C,GS
GS_C_6_3,HEAD SECURITY GUARD,6,C,GS
GS_C_7_1,CLERICAL OFFICER,7,C,GS
GS_C_7_2,CHIEF STORE ASST,7,C,GS
GS_D_2,MOTOR DRIVER,2,D,GS
GS_D_3,LORRY MOTOR DRIVER,3,D,GS
GS_D_4,MOTOR DRIVER MECHANIC,4,D,GS
GS_D_5,SNR. MOTOR DRIVER/MECHANIC  II,5,D,GS
GS_D_6,SNR. MOTOR DRIVER/MECHANIC  I,6,D,GS
GS_D_7,CHIEF MOTOR DRIVER MECHANIC,7,D,GS
GS_E_10_1,PRINCIPAL EXECUTIVE OFFICER II,10,E,GS
GS_E_10_2,PRINCIPAL EXECUTIVE OFFICER STORE II,10,E,GS
GS_E_10_3,PRINCIPAL STOCK VERIFIER II,10,E,GS
GS_E_12_1,PRINCIPAL EXECUTIVE OFFICER I,12,E,GS
GS_E_12_2,PRINCIPAL EXECUTIVE OFFICER STORE I,12,E,GS
GS_E_12_3,PRINCIPAL STOCK VERIFIER I,12,E,GS
GS_E_13_1,ASST CHIEF EXECUTIVE OFFICER STORE,13,E,GS
GS_E_13_2,ASST CHIEF EXECUTIVE OFFICER,13,E,GS
GS_E_13_3,ASSISTANT CHIEF STOCK VERIFIER,13,E,GS
GS_E_14_1,CHIEF EXECUTIVE OFFICER,14,E,GS
GS_E_14_2,CHIEF EXECUTIVE OFFICER STORE,14,E,GS
GS_E_14_3,CHIEF STOCK VERIFIER,14,E,GS
GS_E_6_1,ASST EXECUTIVE OFFICER,6,E,GS
GS_E_6_2,AEO STORE ASST,6,E,GS
GS_E_6_3,ASST. STOCK VERIFIER,6,E,GS
GS_E_7_1,EXECUTIVE OFFICER,7,E,GS
GS_E_7_2,EXECUTIVE OFFICER STORE,7,E,GS
GS_E_7_3,STOCK VERIFIER,7,E,GS
GS_E_8_1,HIGHER EXECUTIVE OFFICER,8,E,GS
GS_E_8_2,HIGER EXECUTIVE OFFICER STORE,8,E,GS
GS_E_8_3,HIGHER STOCK VERIFIER,8,E,GS
GS_E_9_1,SENIOR EXECUTIVE OFFICER,9,E,GS
GS_E_9_2,SENIOR EXECUTIVE OFFICER STORE,9,E,GS
GS_E_9_3,SENIOR STOCK VERIFIER,9,E,GS
GS_O_10_1,SENIOR ADMIN OFFICER,10,O,GS
GS_O_10_2,SENIOR STORE OFFICER,10,O,GS
GS_O_12_1,PRINCIPAL ADMIN OFFICER,12,O,GS
GS_O_12_2,PRINCIPAL STORE OFFICER,12,O,GS
GS_O_13_1,ASST CHIEF ADMIN OFFICER,13,O,GS
GS_O_13_2,ASST CHIEF STORE OFFICER,13,O,GS
GS_O_14_1,CHIEF ADMIN OFFICER,14,O,GS
GS_O_14_2,CHIEF STORE OFFICER,14,O,GS
GS_O_15,ASSISTANT DIRECTOR ,15,O,GS
GS_O_16,DEPUTY DIRECTOR ,16,O,GS
GS_O_17,DIRECTOR GENERAL SERVICES,17,O,GS
GS_O_8_1,ADMIN OFFICER II,8,O,GS
GS_O_8_2,STORE OFFICER II,8,O,GS
GS_O_9_1,ADMIN OFFICER I,9,O,GS
GS_O_9_2,STORE OFFICER I,9,O,GS
HRM_C_2,MESSENGER,2,C,HRM
HRM_C_3_1,CLERICAL OFFICER III,3,C,HRM
HRM_C_3_2,SENIOR MESSENGER,3,C,HRM
HRM_C_4_1,CLERICAL OFFICER II,4,C,HRM
HRM_C_4_2,HEAD MESSENGER,4,C,HRM
HRM_C_5,CLERICAL OFFICER I,5,C,HRM
HRM_C_6,ASST CLERICAL OFFICER ,6,C,HRM
HRM_C_7,CLERICAL OFFICER ,7,C,HRM
HRM_E_10,PRINCIPAL EXECUTIVE OFFICER II,10,E,HRM
HRM_E_12,PRINCIPAL EXECUTIVE OFFICER I,12,E,HRM
HRM_E_13,ASST CHIEF EXECUTIVE OFFICER ,13,E,HRM
HRM_E_14,CHIEF EXECUTIVE OFFICER ,14,E,HRM
HRM_E_6,ASST EXECUTIVE OFFICER ,6,E,HRM
HRM_E_7,EXECUTIVE OFFICER ,7,E,HRM
HRM_E_8,HIGHER EXECUTIVE OFFICER ,8,E,HRM
HRM_E_9,SENIOR EXECUTIVE OFFICER ,9,E,HRM
HRM_O_10,SENION ADMIN OFFICER ,10,O,HRM
HRM_O_12,PRINCIPAL ADMIN OFFICER,12,O,HRM
HRM_O_13,ASST CHIEF ADMIN OFFICER ,13,O,HRM
HRM_O_14,CHIEF ADMIN OFFICER,14,O,HRM
HRM_O_15,ASSISTANT DIRECTOR HRM,15,O,HRM
HRM_O_16,DEPUTY DIRECTOR ,16,O,HRM
HRM_O_17,DIRECTOR HUMAN RESOURCES MANAGEMENT,17,O,HRM
HRM_O_8,ADMIN OFFICER II ,8,O,HRM
HRM_O_9,ADMIN OFFICER I ,9,O,HRM
HRM_S_10,PRINCIPAL CONFIDENTIAL SECRETARY II,10,S,HRM
HRM_S_12,PRINCIPAL CONFIDENTIAL SECRETARY I,12,S,HRM
HRM_S_13,ASST. CHIEF CONFIDENTIAL SECRETARY,13,S,HRM
HRM_S_14,CHIEF CONFIDENTIAL SECRETARY,14,S,HRM
HRM_S_3,TYPIST  IV,3,S,HRM
HRM_S_4,TYPIST  III,4,S,HRM
HRM_S_5_1,TYPIST II,5,S,HRM
HRM_S_5_2,CONFIDENTIAL SECRETARY IV,5,S,HRM
HRM_S_6_1,TYPIST I,6,S,HRM
HRM_S_6_2,CONFIDENTIAL SECRETARY III,6,S,HRM
HRM_S_7_1,SENIOR TYPIST II,7,S,HRM
HRM_S_7_2,CONFIDENTIAL SECRETARY II,7,S,HRM
HRM_S_8_1,SENIOR TYPIST I,8,S,HRM
HRM_S_8_2,CONFIDENTIAL SECRETARY I,8,S,HRM
HRM_S_9_1,CHIEF TYPIST,9,S,HRM
HRM_S_9_2,SENIOR CONFIDENTIAL SECRETARY,9,S,HRM
IA_E_10,PEO  INTERNAL AUDIT II,10,E,IA
IA_E_12,PEO  INTERNAL AUDIT I,12,E,IA
IA_E_13,ACEO INTERNAL AUDIT,13,E,IA
IA_E_14,CEO INTERNAL AUDIT,14,E,IA
IA_E_6,ASST EXECUTIVE OFFICER INTERNAL AUDITOR,6,E,IA
IA_E_7,EXECUTIVE OFFICER INTERNAL AUDITOR ,7,E,IA
IA_E_8,HEO INTERNAL AUDIT,8,E,IA
IA_E_9,SEO  INTERNAL AUDIT,9,E,IA
IA_O_10,SENIOR INTERNAL AUDITOR I,10,O,IA
IA_O_12,PRINCIPAL INTERNAL AUDITOR,12,O,IA
IA_O_13,ASST CHIEF INTERNAL AUDITOR ,13,O,IA
IA_O_14,CHIEF INTERNAL AUDITOR,14,O,IA
IA_O_15,ASST DIRECTOR INTERNAL AUDITOR ,15,O,IA
IA_O_16,DEPUTY DIRECTOR INTERNAL AUDITOR,16,O,IA
IA_O_17,DIRECTOR INTERNAL AUDITOR,17,O,IA
IA_O_8,INTERNAL AUDITOR II,8,O,IA
IA_O_9,INTERNAL AUDITOR I,9,O,IA
ICT_C_3,DATA PROCESSING ASST IV,3,C,ICT
ICT_C_4,DATA PROCESSING ASST III,4,C,ICT
ICT_C_5,SENIOR DATA PROCESSING ASST II,5,C,ICT
ICT_C_6,SNR. DATA PROCESSING ASST I,6,C,ICT
ICT_C_7,CHIEF PROCESSING ASST.,7,C,ICT
ICT_E_10,PRIN. DATA PROCESSING OFFICER II,10,E,ICT
ICT_E_12,PRIN. DATA PROCESSING OFFICER I,12,E,ICT
ICT_E_13,ASST. CHIEF DATA PROCESSING OFFICER,13,E,ICT
ICT_E_14,CHIEF DATA PROCESSING OFFICER,14,E,ICT
ICT_E_6,DATA PROCESSING ASST,6,E,ICT
ICT_E_7,DATA PROCESSING OFFICER,7,E,ICT
ICT_E_8,HIGHER DATA PROCESSING OFFICER,8,E,ICT
ICT_E_9,SNR DATA PROCESSING OFFICER,9,E,ICT
ICT_O_10,SNR. PROG. ANALYST ,10,O,ICT
ICT_O_12,PRIN. PROG. ANALYST,12,O,ICT
ICT_O_13,ASST. CHIEF PROG. ANALYST,13,O,ICT
ICT_O_14,CHIEF PROG. ANALYST,14,O,ICT
ICT_O_15,ASST. DIRECTOR ICT,15,O,ICT
ICT_O_16,DEPUTY DIRECTOR ICT,16,O,ICT
ICT_O_17,DIRECTOR ICT,17,O,ICT
ICT_O_8,PROGRAMMER ANALYST II,8,O,ICT
ICT_O_9,PROGRAMMER ANALYST I,9,O,ICT
LEGAL_O_10,SENIOR LEGAL OFFICER ,10,O,LS
LEGAL_O_12,PRINCIPAL LEGAL OFFICER ,12,O,LS
LEGAL_O_13,ASST CHIEF LEGAL OFFICER ,13,O,LS
LEGAL_O_14,CHIEF LEGAL OFFICER   ,14,O,LS
LEGAL_O_15,ASST DIRECTOR LEGAL  ,15,O,LS
LEGAL_O_16,DEPUTY DIRECTOR LEGAL  ,16,O,LS
LEGAL_O_17,DIRECTOR LEGAL ,17,O,LS
LEGAL_O_9, LEGAL OFFICER  ,9,O,LS
PAD_O_10,SENIOR PUBLIC AFFAIRS OFFICER ,10,O,PAD
PAD_O_12,PRINCIPAL PUBLIC AFFAIRS OFFICER,12,O,PAD
PAD_O_13,ASST CHIEF PUBLIC AFFAIRS OFFICER ,13,O,PAD
PAD_O_14,CHIEF PUBLIC AFFAIRS OFFICER,14,O,PAD
PAD_O_15,ASSISTANT DIRECTOR ,15,O,PAD
PAD_O_16,DEPUTY DIRECTOR ,16,O,PAD
PAD_O_17,DIRECTOR PUBLIC AFFAIRS,17,O,PAD
PAD_O_8,PUBLIC AFFAIRS OFFICER II ,8,O,PAD
PAD_O_9,PUBLIC AFFAIRS OFFICER I ,9,O,PAD
PMD_O_10,SENIOR POPULATION MANAGEMENT OFFICER ,10,O,PMD
PMD_O_12,PRINCIPAL POPULATION MANAGEMENT OFFICER,12,O,PMD
PMD_O_13,ASST CHIEF POPULATION MANAGEMENT OFFICER ,13,O,PMD
PMD_O_14,CHIEF POPULATION MANAGEMENT OFFICER,14,O,PMD
PMD_O_15,ASSISTANT DIRECTOR ,15,O,PMD
PMD_O_16,DEPUTY DIRECTOR ,16,O,PMD
PMD_O_17,DIRECTOR POPULATION MANAGEMENT,17,O,PMD
PMD_O_8,POPULATION MANAGEMENT OFFICER II ,8,O,PMD
PMD_O_9,POPULATION MANAGEMENT OFFICER I ,9,O,PMD
PRD_E_12,PRINCIPAL RESEARCH OFFICER,12,E,PRD
PRD_E_13,ASST CHIEF RESEARCH OFFICER,13,E,PRD
PRD_E_14,CHIEF RESEARCH OFFICER ,14,E,PRD
PRD_O_10_1,SENIOR PLANNING OFFICER,10,O,PRD
PRD_O_10_2,SENIOR RESEARCH OFFICER,10,O,PRD
PRD_O_12,PRINCIPAL PLANNING OFFICER,12,O,PRD
PRD_O_13,ASST CHIEF PLANNING OFFICER,13,O,PRD
PRD_O_14,CHIEF PLANNING OFFICER ,14,O,PRD
PRD_O_15,ASSISTANT DIRECTOR PLANNING AND RESEARCH,15,O,PRD
PRD_O_16,DEPUTY DIRECTOR PLANNING AND RESEARCH,16,O,PRD
PRD_O_17,DIRECTOR PLANNING AND RESEARCH ,17,O,PRD
PRD_O_8_1,PLANNING OFFICER II,8,O,PRD
PRD_O_8_2,RESEARCH OFFICER II,8,O,PRD
PRD_O_9,PLANNING OFFICER I,9,O,PRD
PROC_E_10,PRIN.EXECUTIVE OFFICER II,10,E,PROC
PROC_E_12,PRIN.EXECUTIVE OFFICER I,12,E,PROC
PROC_E_13,ASST. CHIEF EXE.OFFICER PROCUREMENT,13,E,PROC
PROC_E_14,CHIEF EXE. PROCUREMENT OFFICER,14,E,PROC
PROC_E_6,ASST. EXE OFFICER PROCUREMENT,6,E,PROC
PROC_E_7,EXECUTIVE OFFICER PROCUREMENT,7,E,PROC
PROC_E_8,HEO PROCUREMENT,8,E,PROC
PROC_E_9,SEO PROCUREMENT,9,E,PROC
PROC_O_10,SNR. PROCUREMENT OFFICER,10,O,PROC
PROC_O_12,PRIN. PROCUREMENT OFFICER,12,O,PROC
PROC_O_13,ASST. CHIEF PROCUREMENT OFFFICER,13,O,PROC
PROC_O_14,CHIEF PROCUREMENT OFFICER,14,O,PROC
PROC_O_15,ASST. DIRECTOR PROCUREMENT,15,O,PROC
PROC_O_16,DEPUTY DIRECTOR PROCUREMENT,16,O,PROC
PROC_O_17,DIRECTOR PROCUREMENT,17,O,PROC
PROC_O_8,PROCUREMENT OFFICER II,8,O,PROC
PROC_O_9,PROCUREMENT OFFICER II,9,O,PROC
PSD_O_10,SENIOR ADMIN OFFICER ,10,O,PSD
PSD_O_12,PRINCIPAL ADMIN OFFICER,12,O,PSD
PSD_O_13,ASST CHIEF ADMIN OFFICER ,13,O,PSD
PSD_O_14,CHIEF ADMIN OFFICER,14,O,PSD
PSD_O_15,ASSISTANT DIRECTOR ,15,O,PSD
PSD_O_16,DEPUTY DIRECTOR ,16,O,PSD
PSD_O_17,DIRECTOR POPULATION STUDIES,17,O,PSD
PSD_O_8,ADMIN OFFICER II ,8,O,PSD
PSD_O_9,ADMIN OFFICER I ,9,O,PSD
SD_O_10,SENIOR ADMIN OFFICER ,10,O,SD
SD_O_12,PRINCIPAL ADMIN OFFICER,12,O,SD
SD_O_13,ASST CHIEF ADMIN OFFICER ,13,O,SD
SD_O_14,CHIEF ADMIN OFFICER,14,O,SD
SD_O_15,ASSISTANT DIRECTOR ,15,O,SD
SD_O_16,DEPUTY DIRECTOR ,16,O,SD
SD_O_17,DIRECTOR SPECIAL DUTIES,17,O,SD
SD_O_8,ADMIN OFFICER II ,8,O,SD
SD_O_9,ADMIN OFFICER I ,9,O,SD
VRD_C_3, VITAL REGISTRATION ASST.III,3,C,VRD
VRD_C_4,VITAL REGISTRATION ASST.II,4,C,VRD
VRD_C_5,VITAL REGISTRATION ASST. I,5,C,VRD
VRD_C_6,SNR. VITAL REG ASST.,6,C,VRD
VRD_C_7,CHIEF VITAL REG ASST,7,C,VRD
VRD_E_10,PEO II (VITAL REGISTRATION),10,E,VRD
VRD_E_12,PEO I (VITAL REGISTRATION),12,E,VRD
VRD_E_13,ACEO (VITAL REGISTRATION),13,E,VRD
VRD_E_14,CEO (VITAL REGISTRATION),14,E,VRD
VRD_E_6,ASST. EXCEUTIVE OFFICER ,6,E,VRD
VRD_E_7,EXECUTIVE OFFICER,7,E,VRD
VRD_E_8,HEO ( VITAL REGISTRATION),8,E,VRD
VRD_E_9,SEO (VITAL REGISTRATION),9,E,VRD
VRD_O_10,SNR. REGISTRATION OFFICER,10,O,VRD
VRD_O_12,PRIN. REGISTRATION OFFICER,12,O,VRD
VRD_O_13,ASST CHIEF VITAL VITAL REGISTRATION,13,O,VRD
VRD_O_14,CHIEF VITAL REGISTRATION OFFICER,14,O,VRD
VRD_O_15,ASST. DIRECTOR VRD,15,O,VRD
VRD_O_16,DEPUTY DIECTOR VRD,16,O,VRD
VRD_O_8,VITAL REGISTRATION OFFICER II,8,O,VRD
VRD_O_9,VITAL REGISTRATION OFFICER I,9,O,VRD
